payment_intent_id,event_id,ticket_type,gross_amount,fee_amount,tax_amount,discount_amount,net_amount,currency,status,is_refund,refers_payment_intent_id,created_ts
pi_233463719,1000,VIP,61.12,2.44,3.06,9.17,49.51,CAD,captured,0,,2025-05-12T04:45:00
pi_769356737,1000,VIP,59.54,2.38,2.98,0.0,57.16,CAD,captured,0,,2025-05-18T08:02:00
pi_857475350,1000,VIP,59.78,2.39,2.99,0.0,57.39,CAD,captured,0,,2025-05-07T12:15:00
pi_619517129,1000,VIP,60.97,2.43,3.05,0.0,58.54,CAD,captured,0,,2025-05-12T11:15:00
pi_768452826,1000,Student,15.23,0.83,0.76,0.0,14.4,CAD,captured,0,,2025-05-23T02:20:00
pi_577515831,1000,Student,13.4,0.77,0.67,0.0,12.63,CAD,captured,0,,2025-05-22T18:40:00
pi_261610749,1000,General,24.28,1.15,1.21,0.0,23.13,CAD,captured,0,,2025-05-17T03:32:00
pi_546448586,1000,VIP,63.22,2.51,3.16,0.0,60.71,CAD,captured,0,,2025-05-19T02:24:00
pi_100861582,1000,Senior,21.89,1.07,1.09,3.28,17.54,CAD,captured,0,,2025-05-22T17:20:00
pi_486872370,1000,Senior,16.81,0.89,0.84,0.0,15.92,CAD,captured,0,,2025-05-24T15:19:00
pi_385758417,1000,VIP,61.98,2.47,3.1,0.0,59.51,CAD,captured,0,,2025-05-14T03:35:00
pi_994766866,1000,VIP,63.38,2.52,3.17,0.0,60.86,CAD,captured,0,,2025-05-11T17:22:00
pi_504886703,1000,General,23.56,1.12,1.18,0.0,22.44,CAD,captured,0,,2025-05-15T08:25:00
pi_810498702,1000,VIP,57.75,2.32,2.89,0.0,55.43,CAD,captured,0,,2025-05-11T16:52:00
pi_960542581,1000,Senior,20.91,1.03,1.05,0.0,19.88,CAD,captured,0,,2025-05-20T12:43:00
pi_716208945,1000,Senior,19.31,0.98,0.97,0.0,18.33,CAD,captured,0,,2025-05-20T21:04:00
pi_171912222,1000,General,23.22,1.11,1.16,3.48,18.63,CAD,captured,0,,2025-05-09T17:04:00
pi_903716737,1000,Senior,14.03,0.79,0.7,0.0,13.24,CAD,captured,0,,2025-05-08T14:55:00
pi_380864667,1000,Senior,20.42,1.01,1.02,0.0,19.41,CAD,captured,0,,2025-05-20T01:12:00
pi_944150256,1000,Senior,19.02,0.97,0.95,0.0,18.05,CAD,captured,0,,2025-05-11T11:37:00
pi_711762309,1000,General,25.0,1.18,1.25,0.0,23.82,CAD,captured,0,,2025-05-25T06:43:00
pi_612259860,1000,Student,13.93,0.79,0.7,0.0,13.14,CAD,captured,0,,2025-05-12T12:26:00
pi_721521336,1000,Student,17.91,0.93,0.9,0.0,16.98,CAD,captured,0,,2025-05-21T21:08:00
pi_180630416,1000,VIP,60.95,2.43,3.05,0.0,58.52,CAD,captured,0,,2025-05-11T09:34:00
pi_508683412,1000,VIP,62.56,2.49,3.13,0.0,60.07,CAD,captured,0,,2025-05-21T16:49:00
pi_201213038,1000,Senior,18.94,0.96,0.95,0.0,17.98,CAD,captured,0,,2025-05-21T21:26:00
pi_498794982,1000,VIP,57.19,2.3,2.86,8.58,46.31,CAD,captured,0,,2025-05-10T08:16:00
pi_964082149,1000,VIP,57.32,2.31,2.87,0.0,55.01,CAD,captured,0,,2025-05-22T11:52:00
pi_435143252,1000,Senior,17.71,0.92,0.89,0.0,16.79,CAD,captured,0,,2025-05-21T13:21:00
pi_126484646,1000,General,23.41,1.12,1.17,0.0,22.29,CAD,captured,0,,2025-05-14T05:54:00
pi_351423201,1000,VIP,61.42,2.45,3.07,0.0,58.97,CAD,captured,0,,2025-05-11T07:54:00
pi_966310551,1000,Senior,16.35,0.87,0.82,0.0,15.48,CAD,captured,0,,2025-05-16T06:59:00
pi_171186369,1000,VIP,59.42,2.38,2.97,0.0,57.04,CAD,captured,0,,2025-05-11T23:56:00
pi_728921323,1000,VIP,63.23,2.51,3.16,9.49,51.23,CAD,captured,0,,2025-05-25T10:19:00
pi_576944095,1000,Student,14.58,0.81,0.73,0.0,13.77,CAD,captured,0,,2025-05-15T18:42:00
pi_482984008,1000,Senior,20.37,1.01,1.02,0.0,19.36,CAD,captured,0,,2025-05-16T11:54:00
pi_527239747,1000,VIP,58.75,2.36,2.94,8.81,47.58,CAD,captured,0,,2025-05-16T22:17:00
pi_727235622,1000,Senior,0.0,0.0,0.0,0.0,-15.77,CAD,refunded,1,pi_711106336,2025-05-19T12:38:00
pi_398368877,1000,Senior,14.53,0.81,0.73,0.0,13.72,CAD,captured,0,,2025-05-08T18:13:00
pi_508708688,1000,Senior,17.71,0.92,0.89,0.0,16.79,CAD,captured,0,,2025-05-09T00:09:00
pi_451437859,1000,Student,16.69,0.88,0.83,0.0,15.81,CAD,captured,0,,2025-05-17T17:39:00
pi_554010975,1000,VIP,60.02,2.4,3.0,0.0,57.62,CAD,captured,0,,2025-05-14T19:28:00
pi_949593376,1000,General,26.41,1.22,1.32,0.0,25.19,CAD,captured,0,,2025-05-10T12:28:00
pi_301584205,1000,VIP,59.81,2.39,2.99,0.0,57.42,CAD,captured,0,,2025-05-08T09:16:00
pi_825993647,1000,Senior,18.56,0.95,0.93,0.0,17.61,CAD,captured,0,,2025-05-21T19:52:00
pi_210135169,1000,General,25.25,1.18,1.26,0.0,24.07,CAD,captured,0,,2025-05-23T05:40:00
pi_757416369,1000,VIP,57.31,2.31,2.87,0.0,55.0,CAD,captured,0,,2025-05-20T08:19:00
pi_539245964,1000,VIP,63.1,2.51,3.15,0.0,60.59,CAD,captured,0,,2025-05-16T18:38:00
pi_819376992,1000,Senior,17.77,0.92,0.89,0.0,16.85,CAD,captured,0,,2025-05-10T13:12:00
pi_460769347,1000,Student,15.97,0.86,0.8,0.0,15.11,CAD,captured,0,,2025-05-07T06:39:00
pi_403080394,1000,Student,14.98,0.82,0.75,0.0,14.16,CAD,captured,0,,2025-05-14T15:11:00
pi_530508858,1000,General,22.09,1.07,1.1,0.0,21.02,CAD,captured,0,,2025-05-11T03:43:00
pi_987532793,1000,General,21.46,1.05,1.07,0.0,20.41,CAD,captured,0,,2025-05-11T11:30:00
pi_161785763,1000,VIP,60.03,2.4,3.0,9.0,48.63,CAD,captured,0,,2025-05-15T04:58:00
pi_220054121,1000,VIP,0.0,0.0,0.0,0.0,-54.62,CAD,refunded,1,pi_257080066,2025-05-14T16:58:00
pi_182891006,1000,Senior,20.46,1.02,1.02,0.0,19.44,CAD,captured,0,,2025-05-16T15:07:00
pi_243567323,1000,Student,18.64,0.95,0.93,2.8,14.89,CAD,captured,0,,2025-05-22T03:13:00
pi_330706883,1000,Student,0.0,0.0,0.0,0.0,-18.53,CAD,refunded,1,pi_315232656,2025-05-15T10:36:00
pi_520078382,1000,VIP,59.4,2.38,2.97,0.0,57.02,CAD,captured,0,,2025-05-08T16:12:00
pi_572304158,1000,Student,16.39,0.87,0.82,0.0,15.52,CAD,captured,0,,2025-05-20T11:13:00
pi_276546947,1000,VIP,60.87,2.43,3.04,0.0,58.44,CAD,captured,0,,2025-05-09T01:38:00
pi_750444566,1000,Student,14.12,0.79,0.71,0.0,13.33,CAD,captured,0,,2025-05-13T06:58:00
pi_106030809,1000,Student,17.86,0.93,0.89,0.0,16.93,CAD,captured,0,,2025-05-09T02:38:00
pi_123090767,1000,Senior,17.6,0.92,0.88,0.0,16.68,CAD,captured,0,,2025-05-08T03:33:00
pi_200378004,1000,General,26.66,1.23,1.33,0.0,25.43,CAD,captured,0,,2025-05-19T17:54:00
pi_282314430,1000,VIP,62.21,2.48,3.11,0.0,59.73,CAD,captured,0,,2025-05-18T02:47:00
pi_922241470,1000,General,23.67,1.13,1.18,0.0,22.54,CAD,captured,0,,2025-05-22T05:46:00
pi_250346536,1000,General,25.44,1.19,1.27,0.0,24.25,CAD,captured,0,,2025-05-23T17:14:00
pi_910461881,1000,General,27.12,1.25,1.36,0.0,25.87,CAD,captured,0,,2025-05-16T07:33:00
pi_491868332,1000,VIP,59.57,2.38,2.98,0.0,57.19,CAD,captured,0,,2025-05-08T20:01:00
pi_463082978,1000,Student,16.78,0.89,0.84,0.0,15.89,CAD,captured,0,,2025-05-07T21:52:00
pi_253783218,1000,VIP,57.74,2.32,2.89,0.0,55.42,CAD,captured,0,,2025-05-24T01:27:00
pi_707560556,1000,General,25.52,1.19,1.28,0.0,24.33,CAD,captured,0,,2025-05-14T08:09:00
pi_757088836,1000,General,22.34,1.08,1.12,3.35,17.91,CAD,captured,0,,2025-05-14T07:28:00
pi_680607010,1000,VIP,60.92,2.43,3.05,0.0,58.49,CAD,captured,0,,2025-05-17T18:59:00
pi_747457712,1000,General,22.16,1.08,1.11,0.0,21.08,CAD,captured,0,,2025-05-14T17:25:00
pi_270172941,1000,Senior,18.46,0.95,0.92,0.0,17.51,CAD,captured,0,,2025-05-06T21:42:00
pi_786768233,1000,Student,13.36,0.77,0.67,0.0,12.59,CAD,captured,0,,2025-05-24T07:43:00
pi_771064547,1000,Student,18.66,0.95,0.93,0.0,17.71,CAD,captured,0,,2025-05-11T10:00:00
pi_392254030,1000,VIP,66.13,2.61,3.31,0.0,63.52,CAD,captured,0,,2025-05-15T00:29:00
pi_447320359,1000,General,27.17,1.25,1.36,0.0,25.92,CAD,captured,0,,2025-05-21T10:28:00
pi_555934415,1000,Student,13.69,0.78,0.68,0.0,12.91,CAD,captured,0,,2025-05-13T02:04:00
pi_947558447,1000,VIP,61.0,2.43,3.05,9.15,49.42,CAD,captured,0,,2025-05-20T19:16:00
pi_895202284,1000,VIP,60.47,2.42,3.02,0.0,58.05,CAD,captured,0,,2025-05-09T01:09:00
pi_262859310,1000,VIP,58.12,2.33,2.91,0.0,55.79,CAD,captured,0,,2025-05-20T05:16:00
pi_557229765,1000,Senior,19.79,0.99,0.99,0.0,18.8,CAD,captured,0,,2025-05-10T15:52:00
pi_425022164,1000,Student,17.63,0.92,0.88,0.0,16.71,CAD,captured,0,,2025-05-22T23:29:00
pi_398155450,1000,VIP,59.28,2.37,2.96,0.0,56.91,CAD,captured,0,,2025-05-14T00:20:00
pi_840708368,1000,VIP,60.76,2.43,3.04,0.0,58.33,CAD,captured,0,,2025-05-19T03:57:00
pi_214477615,1000,Senior,17.15,0.9,0.86,0.0,16.25,CAD,captured,0,,2025-05-13T20:28:00
pi_134803546,1000,Student,15.45,0.84,0.77,2.32,12.29,CAD,captured,0,,2025-05-24T11:47:00
pi_354333131,1000,VIP,57.96,2.33,2.9,0.0,55.63,CAD,captured,0,,2025-05-19T03:40:00
pi_122592082,1000,General,27.3,1.26,1.37,0.0,26.04,CAD,captured,0,,2025-05-24T18:52:00
pi_822933047,1000,Senior,22.09,1.07,1.1,0.0,21.02,CAD,captured,0,,2025-05-20T04:23:00
pi_356298200,1000,Student,13.92,0.79,0.7,0.0,13.13,CAD,captured,0,,2025-05-15T18:06:00
pi_369245764,1000,VIP,58.95,2.36,2.95,0.0,56.59,CAD,captured,0,,2025-05-06T23:12:00
pi_454224276,1000,General,23.15,1.11,1.16,0.0,22.04,CAD,captured,0,,2025-05-09T13:42:00
pi_415229507,1000,Student,15.28,0.83,0.76,0.0,14.45,CAD,captured,0,,2025-05-21T17:44:00
pi_246993787,1000,VIP,61.7,2.46,3.08,0.0,59.24,CAD,captured,0,,2025-05-13T01:56:00
pi_784298851,1000,General,26.74,1.24,1.34,4.01,21.49,CAD,captured,0,,2025-05-13T01:40:00
pi_993287262,1000,Senior,17.8,0.92,0.89,0.0,16.88,CAD,captured,0,,2025-05-19T10:47:00
pi_817250771,1000,Student,16.47,0.88,0.82,0.0,15.59,CAD,captured,0,,2025-05-18T20:08:00
pi_428575908,1000,General,27.93,1.28,1.4,0.0,26.65,CAD,captured,0,,2025-05-12T09:26:00
pi_178139451,1000,Senior,18.15,0.94,0.91,0.0,17.21,CAD,captured,0,,2025-05-10T21:16:00
pi_653090685,1000,Senior,20.14,1.01,1.01,0.0,19.13,CAD,captured,0,,2025-05-25T15:40:00
pi_411552717,1000,VIP,61.65,2.46,3.08,0.0,59.19,CAD,captured,0,,2025-05-19T21:37:00
pi_622047880,1000,Student,12.59,0.74,0.63,0.0,11.85,CAD,captured,0,,2025-05-24T07:30:00
pi_651901443,1000,Senior,17.26,0.9,0.86,0.0,16.36,CAD,captured,0,,2025-05-25T05:06:00
pi_214413328,1000,Student,16.11,0.86,0.81,0.0,15.25,CAD,captured,0,,2025-05-09T04:29:00
pi_214592902,1000,Senior,17.08,0.9,0.85,2.56,13.62,CAD,captured,0,,2025-05-24T15:18:00
pi_122590658,1000,Senior,20.41,1.01,1.02,0.0,19.4,CAD,captured,0,,2025-05-12T20:12:00
pi_382421303,1000,General,23.94,1.14,1.2,0.0,22.8,CAD,captured,0,,2025-05-18T19:20:00
pi_581745533,1000,General,24.56,1.16,1.23,0.0,23.4,CAD,captured,0,,2025-05-20T16:18:00
pi_457329009,1000,VIP,60.66,2.42,3.03,0.0,58.24,CAD,captured,0,,2025-05-08T03:13:00
pi_616287190,1000,Student,14.9,0.82,0.74,0.0,14.08,CAD,captured,0,,2025-05-15T18:11:00
pi_526242864,1000,Senior,15.24,0.83,0.76,0.0,14.41,CAD,captured,0,,2025-05-06T23:09:00
pi_855130038,1000,VIP,61.12,2.44,3.06,0.0,58.68,CAD,captured,0,,2025-05-23T15:14:00
pi_947370578,1000,Student,0.0,0.0,0.0,0.0,-9.47,CAD,refunded,1,pi_109681129,2025-05-13T21:20:00
pi_982843489,1000,Senior,17.14,0.9,0.86,0.0,16.24,CAD,captured,0,,2025-05-24T08:54:00
pi_994606140,1000,VIP,61.97,2.47,3.1,9.3,50.2,CAD,captured,0,,2025-05-18T19:53:00
pi_166444356,1000,VIP,59.82,2.39,2.99,0.0,57.43,CAD,captured,0,,2025-05-12T16:59:00
pi_871210610,1000,VIP,61.36,2.45,3.07,0.0,58.91,CAD,captured,0,,2025-05-24T14:33:00
pi_461277819,1000,Senior,16.79,0.89,0.84,0.0,15.9,CAD,captured,0,,2025-05-13T03:51:00
pi_592835249,1000,General,0.0,0.0,0.0,0.0,-19.01,CAD,refunded,1,pi_168993253,2025-05-12T07:41:00
pi_395545343,1000,Student,14.88,0.82,0.74,0.0,14.06,CAD,captured,0,,2025-05-14T08:43:00
pi_239333163,1000,VIP,61.51,2.45,3.08,0.0,59.06,CAD,captured,0,,2025-05-23T13:24:00
pi_402291537,1000,General,22.84,1.1,1.14,3.43,18.31,CAD,captured,0,,2025-05-17T01:51:00
pi_950960844,1000,Senior,16.65,0.88,0.83,2.5,13.27,CAD,captured,0,,2025-05-14T00:54:00
pi_287892202,1000,Senior,19.39,0.98,0.97,0.0,18.41,CAD,captured,0,,2025-05-20T07:06:00
pi_816565869,1000,Senior,19.14,0.97,0.96,2.87,15.3,CAD,captured,0,,2025-05-24T10:03:00
pi_615653296,1000,Student,14.72,0.82,0.74,2.21,11.69,CAD,captured,0,,2025-05-17T06:29:00
pi_647473412,1000,Senior,18.39,0.94,0.92,0.0,17.45,CAD,captured,0,,2025-05-24T17:52:00
pi_503039571,1000,VIP,61.01,2.44,3.05,0.0,58.57,CAD,captured,0,,2025-05-17T17:29:00
pi_726191792,1000,VIP,60.38,2.41,3.02,0.0,57.97,CAD,captured,0,,2025-05-16T14:18:00
pi_626934699,1000,Student,13.19,0.76,0.66,0.0,12.43,CAD,captured,0,,2025-05-13T18:02:00
pi_686489009,1000,General,24.94,1.17,1.25,3.74,20.03,CAD,captured,0,,2025-05-10T22:03:00
pi_170310755,1000,Senior,18.43,0.95,0.92,0.0,17.48,CAD,captured,0,,2025-05-15T03:20:00
pi_343877275,1000,VIP,60.5,2.42,3.03,0.0,58.08,CAD,captured,0,,2025-05-17T17:04:00
pi_448505630,1000,General,26.18,1.22,1.31,0.0,24.96,CAD,captured,0,,2025-05-10T04:54:00
pi_491568164,1000,General,26.95,1.24,1.35,0.0,25.71,CAD,captured,0,,2025-05-24T00:01:00
pi_834690612,1000,Senior,20.88,1.03,1.04,0.0,19.85,CAD,captured,0,,2025-05-18T04:57:00
pi_928170253,1000,Student,16.71,0.88,0.84,0.0,15.83,CAD,captured,0,,2025-05-16T19:18:00
pi_487241017,1000,Student,11.65,0.71,0.58,0.0,10.94,CAD,captured,0,,2025-05-18T21:05:00
pi_797959823,1000,Student,13.91,0.79,0.7,0.0,13.12,CAD,captured,0,,2025-05-08T18:21:00
pi_920074581,1000,VIP,59.98,2.4,3.0,0.0,57.58,CAD,captured,0,,2025-05-10T14:16:00
pi_760726825,1000,Student,15.88,0.86,0.79,0.0,15.02,CAD,captured,0,,2025-05-07T18:14:00
pi_324182255,1000,VIP,60.07,2.4,3.0,0.0,57.67,CAD,captured,0,,2025-05-20T12:51:00
pi_609483863,1000,General,23.31,1.12,1.17,0.0,22.19,CAD,captured,0,,2025-05-12T00:19:00
pi_893456095,1000,General,23.64,1.13,1.18,3.55,18.96,CAD,captured,0,,2025-05-14T06:47:00
pi_559658006,1000,Senior,17.63,0.92,0.88,0.0,16.71,CAD,captured,0,,2025-05-14T17:12:00
pi_518224983,1000,Senior,17.53,0.91,0.88,0.0,16.62,CAD,captured,0,,2025-05-25T01:03:00
pi_281339630,1000,Student,18.85,0.96,0.94,0.0,17.89,CAD,captured,0,,2025-05-09T01:37:00
pi_255215819,1000,Student,15.96,0.86,0.8,0.0,15.1,CAD,captured,0,,2025-05-21T02:30:00
pi_263486591,1000,General,26.65,1.23,1.33,4.0,21.42,CAD,captured,0,,2025-05-12T11:04:00
pi_658693395,1000,Senior,19.44,0.98,0.97,0.0,18.46,CAD,captured,0,,2025-05-20T13:56:00
pi_977635170,1000,General,25.21,1.18,1.26,0.0,24.03,CAD,captured,0,,2025-05-22T05:53:00
pi_167425704,1000,Senior,16.0,0.86,0.8,0.0,15.14,CAD,captured,0,,2025-05-24T13:25:00
pi_208615866,1000,Student,14.67,0.81,0.73,0.0,13.86,CAD,captured,0,,2025-05-23T14:36:00
pi_245135954,1000,VIP,57.04,2.3,2.85,0.0,54.74,CAD,captured,0,,2025-05-10T18:25:00
pi_563159924,1000,VIP,64.44,2.56,3.22,0.0,61.88,CAD,captured,0,,2025-05-22T15:58:00
pi_284641120,1000,VIP,61.8,2.46,3.09,0.0,59.34,CAD,captured,0,,2025-05-07T04:57:00
pi_422844368,1000,Student,16.31,0.87,0.82,2.45,12.99,CAD,captured,0,,2025-05-23T18:10:00
pi_537905620,1000,Senior,17.87,0.93,0.89,0.0,16.94,CAD,captured,0,,2025-05-11T21:32:00
pi_285345908,1000,Senior,20.38,1.01,1.02,0.0,19.37,CAD,captured,0,,2025-05-10T19:25:00
pi_718953251,1000,Senior,23.18,1.11,1.16,0.0,22.07,CAD,captured,0,,2025-05-24T02:34:00
pi_507719289,1000,Senior,16.14,0.86,0.81,2.42,12.86,CAD,captured,0,,2025-05-07T07:11:00
pi_639014342,1000,Senior,0.0,0.0,0.0,0.0,-16.44,CAD,refunded,1,pi_119506589,2025-05-15T23:21:00
pi_177066019,1000,General,23.82,1.13,1.19,0.0,22.69,CAD,captured,0,,2025-05-22T01:57:00
pi_927541374,1000,Senior,17.43,0.91,0.87,0.0,16.52,CAD,captured,0,,2025-05-18T17:53:00
pi_142904422,1000,General,28.29,1.29,1.41,0.0,27.0,CAD,captured,0,,2025-05-08T07:36:00
pi_800859423,1000,Student,13.16,0.76,0.66,0.0,12.4,CAD,captured,0,,2025-05-09T08:34:00
pi_231369941,1000,Senior,17.64,0.92,0.88,0.0,16.72,CAD,captured,0,,2025-05-21T17:48:00
pi_978151082,1000,Senior,19.19,0.97,0.96,0.0,18.22,CAD,captured,0,,2025-05-24T07:22:00
pi_299837545,1000,General,25.8,1.2,1.29,3.87,20.73,CAD,captured,0,,2025-05-13T03:04:00
pi_614995609,1000,VIP,61.03,2.44,3.05,0.0,58.59,CAD,captured,0,,2025-05-22T17:30:00
pi_869794721,1000,General,24.74,1.17,1.24,0.0,23.57,CAD,captured,0,,2025-05-10T01:50:00
pi_883936417,1001,VIP,55.95,2.26,2.8,0.0,53.69,CAD,captured,0,,2025-05-14T15:49:00
pi_728925104,1001,General,21.0,1.04,1.05,0.0,19.96,CAD,captured,0,,2025-05-26T06:10:00
pi_728311289,1001,Senior,18.82,0.96,0.94,0.0,17.86,CAD,captured,0,,2025-05-24T19:07:00
pi_189244022,1001,VIP,59.91,2.4,3.0,0.0,57.51,CAD,captured,0,,2025-05-28T05:58:00
pi_810753654,1001,Senior,15.83,0.85,0.79,0.0,14.98,CAD,captured,0,,2025-05-31T23:43:00
pi_470854923,1001,Student,14.93,0.82,0.75,0.0,14.11,CAD,captured,0,,2025-05-31T05:00:00
pi_709065446,1001,Student,14.8,0.82,0.74,0.0,13.98,CAD,captured,0,,2025-05-23T13:50:00
pi_862091764,1001,VIP,0.0,0.0,0.0,0.0,-54.47,CAD,refunded,1,pi_347116749,2025-05-29T21:18:00
pi_776407333,1001,VIP,0.0,0.0,0.0,0.0,-57.36,CAD,refunded,1,pi_503389256,2025-05-18T22:40:00
pi_670668083,1001,Student,19.02,0.97,0.95,2.85,15.2,CAD,captured,0,,2025-05-28T22:48:00
pi_180298876,1001,General,25.2,1.18,1.26,0.0,24.02,CAD,captured,0,,2025-05-15T20:59:00
pi_888630113,1001,Student,16.38,0.87,0.82,0.0,15.51,CAD,captured,0,,2025-05-15T07:38:00
pi_207268172,1001,General,26.54,1.23,1.33,0.0,25.31,CAD,captured,0,,2025-05-22T18:45:00
pi_969327652,1001,VIP,60.66,2.42,3.03,9.1,49.14,CAD,captured,0,,2025-05-26T01:15:00
pi_344997354,1001,Senior,19.66,0.99,0.98,0.0,18.67,CAD,captured,0,,2025-05-30T05:51:00
pi_540114366,1001,Senior,16.33,0.87,0.82,2.45,13.01,CAD,captured,0,,2025-05-16T15:49:00
pi_974181776,1001,General,25.39,1.19,1.27,0.0,24.2,CAD,captured,0,,2025-05-19T07:26:00
pi_497250522,1001,General,24.3,1.15,1.21,0.0,23.15,CAD,captured,0,,2025-05-23T13:59:00
pi_345820751,1001,VIP,61.73,2.46,3.09,0.0,59.27,CAD,captured,0,,2025-05-22T00:53:00
pi_344280453,1001,VIP,60.09,2.4,3.0,0.0,57.69,CAD,captured,0,,2025-06-01T09:56:00
pi_973253708,1001,VIP,60.0,2.4,3.0,0.0,57.6,CAD,captured,0,,2025-05-17T19:36:00
pi_936757704,1001,VIP,59.0,2.36,2.95,0.0,56.64,CAD,captured,0,,2025-05-17T23:25:00
pi_961896362,1001,Student,14.18,0.8,0.71,2.13,11.25,CAD,captured,0,,2025-05-23T07:30:00
pi_250623268,1001,VIP,61.64,2.46,3.08,0.0,59.18,CAD,captured,0,,2025-05-27T08:44:00
pi_457330457,1001,General,21.96,1.07,1.1,3.29,17.6,CAD,captured,0,,2025-05-22T20:55:00
pi_862514564,1001,VIP,60.58,2.42,3.03,0.0,58.16,CAD,captured,0,,2025-05-21T14:29:00
pi_359640057,1001,General,25.33,1.19,1.27,0.0,24.14,CAD,captured,0,,2025-05-28T11:48:00
pi_402124515,1001,General,24.34,1.15,1.22,0.0,23.19,CAD,captured,0,,2025-05-31T15:01:00
pi_482072198,1001,Student,13.52,0.77,0.68,2.03,10.72,CAD,captured,0,,2025-06-01T16:38:00
pi_276541640,1001,Senior,18.88,0.96,0.94,2.83,15.09,CAD,captured,0,,2025-05-19T13:29:00
pi_727253128,1001,VIP,59.61,2.39,2.98,0.0,57.22,CAD,captured,0,,2025-05-29T07:24:00
pi_756780556,1001,Student,13.61,0.78,0.68,0.0,12.83,CAD,captured,0,,2025-05-22T06:24:00
pi_827340740,1001,VIP,63.2,2.51,3.16,0.0,60.69,CAD,captured,0,,2025-05-28T11:46:00
pi_541967186,1001,Student,15.13,0.83,0.76,0.0,14.3,CAD,captured,0,,2025-06-01T10:58:00
pi_642029698,1001,Student,14.62,0.81,0.73,2.19,11.62,CAD,captured,0,,2025-05-16T22:21:00
pi_932837228,1001,VIP,58.92,2.36,2.95,0.0,56.56,CAD,captured,0,,2025-05-16T06:48:00
pi_894451759,1001,General,27.34,1.26,1.37,0.0,26.08,CAD,captured,0,,2025-05-17T22:28:00
pi_411025041,1001,Senior,15.2,0.83,0.76,0.0,14.37,CAD,captured,0,,2025-05-16T20:36:00
pi_332229453,1001,Senior,19.69,0.99,0.98,2.95,15.75,CAD,captured,0,,2025-05-23T10:10:00
pi_606571067,1001,General,22.82,1.1,1.14,0.0,21.72,CAD,captured,0,,2025-05-26T18:38:00
